Variable;Label;Measurement level;Values (response categories);Missing values
ID;ID number;Nominal;N/A;None
Culture;Culture;Nominal;1 = Albania (AL), 2 = Algeria (DZ), 3 = Argentina (AR), 4 = Armenia (AM), 5 = Australia (AU), 6 = Austria (AT), 7 = Azerbaijan (AZ), 8 = Bahrain (BH), 9 = Belgium (BE), 10 = Bolivia (BO), 11 = Bosnia and Herzegovina (BiH), 12 = Brazil (BR), 13 = Bulgaria (BG), 14 = Canada (CA), 15 = Chile (CL), 16 = Croatia (HR), 17 = Cyprus (CY), 18 = Czech Republic (CZ), 19 = Denmark (DK), 20 = Dominican Republic (DO), 21 = Ecuador (EC), 22 = Estonia (EE), 23 = Finland (FI), 24 = France (FR), 25 = Georgia (GE), 26 = Germany (DE), 27 = Ghana (GH), 28 = Greece (GR), 29 = Hong Kong (HK), 30 = Hungary (HU), 31 = Iceland (IS), 32 = India (IN), 33 = Indonesia (ID), 34 = Iran (IR), 35 = Iraq (IQ), 36 = Ireland (IE), 37 = Israel (IL), 38 = Italy (IT), 39 = Jamaica (JM), 40 = Japan (JP), 41 = Jordan (JO), 42 = Kazakhstan (KZ), 43 = Kenya (KE), 44 = Kuwait (KW), 45 = Latvia (LV), 46 = Lebanon (LB), 47 = Lithuania (LT), 48 = Macao (MO), 49 = mainland China (mCN), 50 = Malaysia (MY), 51 = Malta (MT), 52 = Mexico (MX), 53 = Montenegro (MNE), 54 = Mozambique (MZ), 55 = Namibia (NA), 56 = Netherlands (NL), 57 = New Zealand (NZ), 58 = North Macedonia (MK), 59 = Norway (NO), 60 = Palestine (PS), 61 = Paraguay (PY), 62 = Philippines (PH), 63 = Poland (PL), 64 = Portugal (PT), 65 = Romania (RO), 66 = Saudi Arabia (SA), 67 = Serbia (XS), 68 = Slovakia (SK), 69 = Slovenia (SI), 70 = South Korea (KR), 71 = Spain (ES), 72 = Sri Lanka (LK), 73 = Suriname (SR), 74 = Switzerland (CH), 75 = Taiwan (TW), 76 = Tanzania (TZ), 77 = Thailand (TH), 78 = Turkey (TK), 79 = Ukraine (UA), 80 = United Kingdom (UK), 81 = United States (US), 82 = Uruguay (UY), 83 = Uzbekistan (UZ), 84 = Vietnam (VN), 85 = Zambia (ZM);None
IWAS1;IWAS1. How often during THE LAST YEAR have you... thought of how you could free up more time to work?;Scale;1 = Never, 2 = Rarely, 3 = Sometimes, 4 = Often, 5 = Always;9999
IWAS2;IWAS2. How often during THE LAST YEAR have you... spent much more time working than initially intended?;Scale;1 = Never, 2 = Rarely, 3 = Sometimes, 4 = Often, 5 = Always;9999
IWAS3;IWAS3. How often during THE LAST YEAR have you... worked in order to reduce feelings of guilt, anxiety, helplessness and depression?;Scale;1 = Never, 2 = Rarely, 3 = Sometimes, 4 = Often, 5 = Always;9999
IWAS4;IWAS4. How often during THE LAST YEAR have you... been told by others to cut down on work without listening to them?;Scale;1 = Never, 2 = Rarely, 3 = Sometimes, 4 = Often, 5 = Always;9999
IWAS5;IWAS5. How often during THE LAST YEAR have you... become stressed if you have been prohibited from working?;Scale;1 = Never, 2 = Rarely, 3 = Sometimes, 4 = Often, 5 = Always;9999
IWAS6;IWAS6. How often during THE LAST YEAR have you... deprioritized hobbies, leisure activities, and exercise because of your work?;Scale;1 = Never, 2 = Rarely, 3 = Sometimes, 4 = Often, 5 = Always;9999
IWAS7;IWAS7. How often during THE LAST YEAR have you... worked so much that it has negatively influenced your health?;Scale;1 = Never, 2 = Rarely, 3 = Sometimes, 4 = Often, 5 = Always;9999
IWAS8;IWAS8. How often during THE LAST YEAR have you... felt that work was much more important than relationships with your family and friends?;Scale;1 = Never, 2 = Rarely, 3 = Sometimes, 4 = Often, 5 = Always;9999
IWAS9;IWAS9. How often during THE LAST YEAR have you... felt that your entire life was only focused on work?;Scale;1 = Never, 2 = Rarely, 3 = Sometimes, 4 = Often, 5 = Always;9999
IWAS10;IWAS10. How often during THE LAST YEAR have you... been unable to stop thinking about work (e.g., you have been thinking about work in your free time, on vacation, or at night)?;Scale;1 = Never, 2 = Rarely, 3 = Sometimes, 4 = Often, 5 = Always;9999
IWAS11;IWAS11. How often during THE LAST YEAR have you... worked so much that it has negatively influenced your sleep (e.g., problems falling asleep, waking up during the night, nightmares, low quality of sleep, or waking up early in the morning because of work-related stress)?;Scale;1 = Never, 2 = Rarely, 3 = Sometimes, 4 = Often, 5 = Always;9999
IWAS12;IWAS12. How often during THE LAST YEAR have you... felt you should work more and more?;Scale;1 = Never, 2 = Rarely, 3 = Sometimes, 4 = Often, 5 = Always;9999
IWAS13;IWAS13. How often during THE LAST YEAR have you... found yourself working to forget about your personal problems?;Scale;1 = Never, 2 = Rarely, 3 = Sometimes, 4 = Often, 5 = Always;9999
IWAS14;IWAS14. How often during THE LAST YEAR have you... experienced serious life problems (e.g., personal, family, or social ones) because of how much you worked?;Scale;1 = Never, 2 = Rarely, 3 = Sometimes, 4 = Often, 5 = Always;9999
IWAS15;IWAS15. How often during THE LAST YEAR have you... tried to reduce the amount of your work but failed?;Scale;1 = Never, 2 = Rarely, 3 = Sometimes, 4 = Often, 5 = Always;9999
IWAS16;IWAS16. How often during THE LAST YEAR have you... neglected everything except your work (your family, friends, hobby, and free time)?;Scale;1 = Never, 2 = Rarely, 3 = Sometimes, 4 = Often, 5 = Always;9999
JStress;Job stress. In general, how do you find your job?;Scale;1 = Not at all stressful, 2, 3, 4, 5, 6, 7 = Extremely stressful;9999
JSatisf;Job satisfaction. Taking everything into consideration, how do you feel about your job as a whole?;Scale;1 = Extremely dissatisfied, 2, 3, 4, 5, 6, 7 = Extremely satisfied;9999
SEsteem;Self-esteem. Overall, how satisfied are you with yourself?;Scale;1 = Very dissatisfied, 2, 3, 4, 5, 6, 7, 8, 9 = Very satisfied;9999
