ID;Culture;IWAS1;IWAS2;IWAS3;IWAS4;IWAS5;IWAS6;IWAS7;IWAS8;IWAS9;IWAS10;IWAS11;IWAS12;IWAS13;IWAS14;IWAS15;IWAS16;JStress;JSatisf;SEsteem
1;1;4;3;4;2;1;3;3;4;4;3;3;1;3;3;2;2;5;2;5
2;1;4;3;3;3;2;3;3;2;1;2;3;3;3;1;2;2;5;5;5
3;1;2;3;3;1;1;2;1;2;1;2;2;3;1;1;1;1;2;5;6
4;1;1;4;3;1;3;3;4;3;3;4;4;4;3;2;2;2;4;5;9
5;1;4;4;2;4;2;4;1;2;3;4;4;4;1;2;1;2;3;4;5
6;1;2;3;2;2;2;2;2;2;2;3;3;2;3;2;2;2;2;5;7
7;1;3;1;3;1;1;5;4;2;2;2;3;4;4;2;1;1;1;4;7
8;1;3;4;1;1;1;2;4;1;4;3;3;1;1;4;2;2;5;1;6
9;1;4;4;2;1;3;1;1;3;2;4;1;4;4;1;1;1;4;1;2
10;1;3;2;5;1;1;3;2;1;1;1;1;5;1;3;1;1;3;4;4
11;1;4;4;4;2;2;3;3;4;4;3;3;3;3;2;2;3;6;5;7
12;1;3;5;2;3;3;5;5;4;5;5;3;5;1;4;5;4;6;4;9
13;1;1;2;2;2;1;4;3;1;2;2;2;1;3;1;1;2;4;6;8
14;1;1;5;4;5;5;5;5;3;4;5;5;3;4;4;5;5;5;4;6
15;1;1;2;1;1;1;2;2;1;2;4;2;3;1;2;1;1;2;5;1
16;1;4;4;5;4;5;4;5;4;3;5;4;4;4;3;4;5;3;5;4
17;1;1;3;3;1;3;3;2;2;1;3;3;2;3;3;4;2;2;6;7
18;1;4;5;3;1;2;5;5;3;5;3;4;4;3;4;1;3;6;3;8
19;1;1;3;1;2;1;1;3;1;1;1;3;1;2;3;3;1;3;2;9999
20;1;3;3;3;3;3;3;2;2;2;2;2;2;2;2;3;3;3;3;5
21;1;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;1;9
22;1;3;2;1;1;1;3;2;1;1;2;2;3;2;1;1;1;2;6;8
23;1;3;5;3;5;3;5;3;4;4;4;2;2;3;3;2;4;5;5;8
24;1;3;3;3;2;2;2;3;3;3;3;3;4;4;4;3;3;4;4;6
25;1;3;3;3;2;1;3;1;1;3;4;3;5;3;1;3;2;3;6;6
26;1;3;3;2;2;2;3;3;1;2;3;3;3;3;2;2;3;5;9999;9999
27;1;4;1;4;2;3;2;2;3;2;4;3;2;4;2;1;2;6;4;7
28;1;3;4;2;3;2;3;3;3;3;4;4;3;2;2;2;2;5;9999;9999
29;1;3;2;1;1;3;1;1;1;1;1;1;1;1;1;1;1;3;5;6
30;1;3;2;3;3;1;1;1;1;2;2;1;2;2;1;1;1;6;9999;9999
31;1;3;4;2;1;2;4;3;3;3;2;1;3;1;1;2;3;3;4;7
32;1;2;2;1;2;1;2;1;1;1;2;1;1;1;1;1;1;3;5;7
33;1;4;4;3;4;4;5;5;5;5;5;5;5;5;4;4;4;5;3;5
34;1;4;2;2;2;2;3;3;3;4;3;4;4;2;2;2;3;2;5;7
35;1;2;2;1;3;3;2;3;2;2;2;2;2;3;3;3;2;2;6;8
36;1;2;2;1;1;1;1;1;1;1;3;2;3;1;1;1;1;1;7;9
37;1;1;5;1;4;4;4;3;2;4;4;3;3;3;1;2;2;6;4;8
38;1;3;4;2;2;1;1;3;2;4;4;3;4;4;3;3;3;3;6;7
39;1;3;3;4;2;1;1;2;2;3;3;3;4;3;3;2;2;1;6;8
